"","Species","Lat","Lon"
"1",1,-50.75,-62.25
"2",1,-50.25,-68.25
"3",1,-50.25,-62.75
"5",1,-50.25,-61.75
"6",1,-50.25,-61.25
"7",1,-49.75,-59.75
"8",1,-49.75,-64.75
"9",1,-49.75,-62.75
"10",1,-49.75,-61.25
"11",1,-49.75,-60.25
"12",1,-49.75,-66.75
"13",1,-49.75,-65.75
"14",1,-49.25,-63.75
"15",1,-49.25,-61.75
"16",1,-49.25,-61.25
"17",1,-49.25,-67.75
"18",1,-49.25,-66.25
"19",1,-48.75,-65.25
"20",1,-48.25,-65.25
"21",1,-48.25,-64.75
"22",1,-48.25,-64.25
"23",1,-48.25,-63.25
"24",1,-48.25,-62.25
"25",1,-48.25,-61.75
"26",1,-48.25,-66.75
"27",1,-48.25,-65.75
"28",1,-47.75,-61.25
"29",1,-47.75,-65.25
"30",1,-47.75,-60.75
"31",1,-47.75,-60.25
"32",1,-47.75,-64.75
"33",1,-47.75,-64.25
"34",1,-47.75,-63.75
"35",1,-47.75,-62.75
"36",1,-47.25,-62.25
"37",1,-47.25,-61.75
"38",1,-47.25,-65.25
"39",1,-47.25,-61.25
"40",1,-47.25,-64.25
"41",1,-47.25,-63.75
"42",1,-47.25,-63.25
"43",1,-47.25,-62.75
"44",1,-46.75,-66.25
"45",1,-46.75,-64.25
"46",1,-46.75,-63.75
"47",1,-46.75,-63.25
"48",1,-46.75,-62.75
"49",1,-46.75,-62.25
"50",1,-46.75,-61.25
"51",1,-46.75,-60.75
"52",1,-46.25,-67.25
"53",1,-46.25,-66.75
"54",1,-46.25,-66.25
"55",1,-46.25,-64.75
"56",1,-46.25,-65.75
"57",1,-46.25,-64.25
"58",1,-46.25,-65.25
"59",1,-46.25,-63.75
"60",1,-46.25,-63.25
"61",1,-46.25,-62.75
"62",1,-46.25,-62.25
"63",1,-46.25,-61.75
"64",1,-46.25,-61.25
"65",1,-46.25,-60.75
"66",1,-46.25,-60.25
"67",1,-45.75,-60.75
"68",1,-45.75,-60.25
"69",1,-45.75,-65.75
"70",1,-45.75,-64.25
"71",1,-45.75,-62.75
"72",1,-45.75,-63.75
"73",1,-45.75,-62.25
"74",1,-45.75,-63.25
"75",1,-45.75,-61.75
"76",1,-45.25,-61.25
"77",1,-45.25,-60.75
"78",1,-45.25,-60.25
"79",1,-45.25,-66.75
"80",1,-45.25,-65.25
"81",1,-45.25,-64.75
"82",1,-45.25,-63.25
"83",1,-45.25,-64.25
"84",1,-45.25,-62.75
"85",1,-45.25,-63.75
"86",1,-45.25,-62.25
"87",1,-45.25,-61.75
"88",1,-44.75,-65.25
"89",1,-44.75,-64.25
"90",1,-44.75,-63.75
"91",1,-44.75,-63.25
"92",1,-44.75,-62.75
"93",1,-44.75,-62.25
"94",1,-44.75,-61.75
"95",1,-44.75,-61.25
"96",1,-44.75,-60.75
"97",1,-44.75,-60.25
"98",1,-44.25,-65.25
"99",1,-44.25,-59.75
"100",1,-44.25,-64.75
"101",1,-44.25,-64.25
"102",1,-44.25,-63.75
"103",1,-44.25,-63.25
"104",1,-44.25,-62.75
"105",1,-44.25,-60.75
"106",1,-44.25,-60.25
"107",1,-43.75,-62.25
"108",1,-43.75,-61.75
"109",1,-43.75,-61.25
"110",1,-43.75,-60.75
"111",1,-43.75,-60.25
"112",1,-43.75,-65.25
"113",1,-43.75,-59.75
"114",1,-43.75,-56.25
"115",1,-43.75,-64.75
"116",1,-43.75,-64.25
"117",1,-43.75,-63.75
"118",1,-43.75,-63.25
"119",1,-43.75,-62.75
"120",1,-43.25,-62.75
"121",1,-43.25,-61.75
"122",1,-43.25,-61.25
"123",1,-43.25,-60.75
"124",1,-43.25,-59.75
"125",1,-43.25,-60.25
"126",1,-43.25,-59.25
"127",1,-43.25,-64.25
"128",1,-43.25,-63.75
"129",1,-43.25,-63.25
"130",1,-42.75,-63.25
"131",1,-42.75,-59.25
"132",1,-42.75,-62.25
"133",1,-42.75,-58.75
"134",1,-42.75,-61.25
"135",1,-42.75,-60.75
"136",1,-42.75,-60.25
"137",1,-42.25,-50.75
"138",1,-42.25,-63.25
"139",1,-42.25,-59.75
"140",1,-42.25,-62.75
"141",1,-42.25,-59.25
"142",1,-42.25,-62.25
"143",1,-42.25,-58.75
"144",1,-42.25,-61.75
"145",1,-42.25,-58.25
"146",1,-42.25,-61.25
"147",1,-42.25,-60.75
"148",1,-42.25,-60.25
"149",1,-41.75,-59.75
"150",1,-41.75,-58.75
"151",1,-41.75,-58.25
"152",1,-41.75,-57.75
"153",1,-41.75,-63.75
"154",1,-41.75,-61.75
"155",1,-41.75,-60.75
"156",1,-41.75,-60.25
"157",1,-41.25,-50.25
"158",1,-41.25,-59.25
"159",1,-41.25,-58.25
"160",1,-41.25,-64.25
"161",1,-41.25,-57.75
"162",1,-41.25,-62.75
"163",1,-41.25,-57.25
"164",1,-41.25,-61.25
"165",1,-41.25,-60.75
"166",1,-41.25,-60.25
"167",1,-40.75,-61.25
"168",1,-40.75,-56.25
"169",1,-40.75,-60.75
"170",1,-40.75,-60.25
"171",1,-40.75,-59.75
"172",1,-40.75,-58.25
"173",1,-40.75,-57.75
"174",1,-40.75,-57.25
"175",1,-40.75,-62.25
"176",1,-40.25,-57.75
"177",1,-40.25,-57.25
"178",1,-40.25,-61.25
"179",1,-40.25,-56.75
"180",1,-40.25,-56.25
"181",1,-40.25,-60.75
"182",1,-40.25,-60.25
"183",1,-40.25,-59.25
"184",1,-40.25,-58.75
"185",1,-39.75,-53.75
"186",1,-39.75,-60.25
"187",1,-39.75,-59.75
"188",1,-39.75,-56.75
"189",1,-39.75,-56.25
"190",1,-39.75,-55.75
"191",1,-39.25,-58.25
"192",1,-39.25,-57.75
"193",1,-39.25,-57.25
"194",1,-39.25,-56.75
"195",1,-39.25,-56.25
"196",1,-39.25,-55.75
"197",1,-38.75,-55.75
"198",1,-38.75,-55.25
"199",1,-38.75,-58.75
"200",1,-38.75,-58.25
"201",1,-38.75,-57.75
"202",1,-38.75,-57.25
"203",1,-38.75,-56.75
"204",1,-38.75,-56.25
"205",1,-38.25,-55.75
"206",1,-38.25,-55.25
"207",1,-38.25,-56.75
"208",1,-38.25,-56.25
"209",1,-37.75,-56.25
"210",1,-37.75,-55.75
"211",1,-37.75,-55.25
"212",1,-37.75,-54.75
"213",1,-37.25,-55.75
"214",1,-37.25,-55.25
"215",1,-37.25,-54.75
"216",1,-37.25,-54.25
"217",1,-36.75,-55.25
"218",1,-36.75,-54.75
"219",1,-36.75,-54.25
"220",1,-36.75,-53.75
"221",1,-36.25,-54.75
"222",1,-36.25,-54.25
"223",1,-36.25,-53.75
"224",1,-36.25,-53.25
"225",1,-35.75,-54.75
"226",1,-35.75,-54.25
"227",1,-35.75,-53.75
"228",1,-35.75,-53.25
"229",1,-35.75,-52.75
"230",1,-35.25,-52.25
"231",1,-35.25,-55.25
"232",1,-35.25,-54.75
"233",1,-35.25,-54.25
"234",1,-35.25,-53.75
"235",1,-35.25,-53.25
"236",1,-35.25,-52.75
"237",1,-34.75,-54.25
"238",1,-34.75,-53.75
"239",1,-34.75,-53.25
"240",1,-34.75,-52.75
"241",1,-34.75,-52.25
"242",1,-34.75,-51.75
"243",1,-34.25,-53.25
"244",1,-34.25,-52.75
"245",1,-34.25,-52.25
"246",1,-34.25,-51.75
"247",1,-34.25,-50.25
"248",1,-33.75,-51.75
"249",1,-33.75,-51.25
"250",1,-33.75,-50.75
"251",1,-33.25,-51.25
"252",1,-33.25,-50.75
"253",1,-33.25,-50.25
"254",1,-32.75,-50.75
"255",1,-32.75,-50.25
"256",1,-32.25,-50.25
"257",1,-31.75,-50.25
"258",1,-31.25,-50.75
